Наименование услуги; Главное изображение; Длительность; Стоимость; Действующая скидка
Чистка форсунок ультразвуком; Услуги автосервиса\Топливная система.png; 240; 3920; 5
Ремонт компрессора кондиционера; Услуги автосервиса\Кондиционер.jpg; 150 ; 4760; 25
Замена цилиндра сцепления; Услуги автосервиса\Сцепление.jpg; 480; 810; 25
Ремонт подвески (ходовой); Услуги автосервиса\Подвеска.png; 180; 680; 5
Замена фильтров; Услуги автосервиса\Техническое обслуживание.png; 210 ; 530; 15
Кузовной ремонт; Услуги автосервиса\Дополнительные услуги.png; 150 ; 2750; 5
Замена прокладки приемной трубки; Услуги автосервиса\Выхлопная система.jpg; 570 ; 4680; 20
Диагностика выхлопной системы автомобиля; Услуги автосервиса\Выхлопная система.jpg; 180; 2550; 25
Балансировка колес; Услуги автосервиса\Шиномонтаж.jpg; 390 ; 4690; 25
Ремонт автоэлектрики; Услуги автосервиса\Электрика.png; 450 ; 4230; 10
ТО с сохранением гарантии; Услуги автосервиса\Техническое обслуживание.png; 270 ; 4300; 20
Ремонт карданного вала; Услуги автосервиса\transmission.jpg; 210 ; 780; 5
Ремонт сцепления; Услуги автосервиса\КПП.png; 600; 3290; 25
Замена кулисы АКПП; Услуги автосервиса\АКПП.jpg; 360; 3250; 10
Ремонт кронштейна глушителя; Услуги автосервиса\Выхлопная система.jpg; 570 ; 1410; 0
Замена сальника привода; Услуги автосервиса\transmission.jpg; 570 ; 3820; 15
Замена пыльника шруса; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 300; 4730; 0
Замена маховика; Услуги автосервиса\Сцепление.jpg; 600; 2400; 25
